
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#NPT RUN
#----------------------------------------------------

fix		fxnpt all npt temp 300 300 100 iso 1.0 1.0 1000.0

run		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.1
  ghost atom cutoff = 4.1
  binsize = 2.05 -> bins = 50 50 5
Memory usage per processor = 5.34324 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
  120000    302.78356   -21707.892     3551.496   -18156.396 4.9737992e-14 -4.1922021e-13 
  121000     304.0163   -21736.776    3565.9554   -18170.821 -4.1211479e-13 -8.8817842e-14 
  122000    298.51337   -21616.266    3501.4089   -18114.857 -3.1974423e-13 -1.5276669e-13 
  123000    299.74409   -21617.276    3515.8445   -18101.431 2.2737368e-13 3.907985e-14 
  124000    300.95384   -21591.303    3530.0343   -18061.269 9.6811448e-14 9.9475983e-14 
  125000    294.74926   -21572.575    3457.2578   -18115.318 -3.6592951e-13 8.5265128e-14 
  126000    296.64014   -21489.689    3479.4369   -18010.252 -1.7763568e-13 2.8421709e-14 
  127000    300.21592   -21450.821    3521.3789   -17929.442 -2.8421709e-14 -3.0908609e-13 
  128000    299.34974   -21504.409     3511.219    -17993.19 2.2737368e-13 -4.9737992e-14 
  129000    303.77858   -21428.559     3563.167   -17865.392 9.9475983e-14 6.3948846e-14 
  130000    293.41269   -21365.963    3441.5804   -17924.383 -1.3500312e-13 1.4210855e-14 
  131000    305.74713   -21310.523    3586.2571   -17724.266 1.9895197e-13 1.8296475e-13 
  132000    300.53802   -21319.498     3525.157   -17794.341 -9.9475983e-14 1.6342483e-13 
  133000    298.59345   -21329.738    3502.3482    -17827.39 2.4513724e-13 1.7763568e-15 
  134000    297.42302   -21192.738    3488.6197   -17704.118 -1.8474111e-13 4.6895821e-13 
  135000    300.51566     -21310.9    3524.8947   -17786.006 1.4210855e-13 1.0658141e-13 
  136000    299.74304   -21374.993    3515.8322   -17859.161 1.030287e-13 2.0250468e-13 
  137000    295.39005   -21193.991     3464.774   -17729.217 -3.8014036e-13 -2.8421709e-14 
  138000    302.90611   -21159.356    3552.9334   -17606.422 4.2632564e-14 3.3573144e-13 
  139000    300.50969   -21254.377    3524.8247   -17729.552 1.2789769e-13 2.5224267e-13 
  140000    301.33383   -21187.522    3534.4914   -17653.031 -3.4461323e-13 1.7763568e-13 
  141000    289.22722    -21183.26    3392.4871   -17790.773 -2.4868996e-14 8.1712415e-14 
  142000    298.02932   -21076.087    3495.7312   -17580.356 1.1368684e-13 -2.4158453e-13 
  143000    297.90272   -21096.735    3494.2462   -17602.489 1.1013412e-13 4.9027449e-13 
  144000    296.76947   -21190.417    3480.9538   -17709.464 -5.6843419e-14 1.1368684e-13 
  145000     303.7985   -21101.797    3563.4007   -17538.396 -1.0658141e-13 3.5527137e-15 
  146000    300.39213   -21159.143    3523.4457   -17635.697 -1.9895197e-13 1.4210855e-13 
  147000    295.14061   -21171.963    3461.8481   -17710.115 2.1671553e-13 -8.5265128e-14 
  148000    302.57792   -21139.697    3549.0839   -17590.613 2.2559732e-13 1.9184654e-13 
  149000    301.85086   -21032.014    3540.5559   -17491.458 -8.5265128e-14 -3.3040237e-13 
  150000    302.07724   -21069.502    3543.2112   -17526.291 1.4566126e-13 2.8421709e-14 
  151000    306.36229    -20931.11    3593.4727   -17337.638 1.5987212e-13 -2.2026825e-13 
  152000    304.09336   -20944.885    3566.8592   -17378.025 -1.4210855e-13 -8.8817842e-14 
  153000       297.57   -21003.405    3490.3436   -17513.061 -5.0448534e-13 1.563194e-13 
  154000    297.33289   -20957.353    3487.5624    -17469.79 1.2789769e-13 -2.1316282e-14 
  155000    291.16773    -21108.18    3415.2483   -17692.932 2.8421709e-14 -1.4210855e-13 
  156000     304.2209   -21110.288    3568.3553   -17541.933 2.344791e-13 -5.2580162e-13 
  157000    298.44061   -21142.702    3500.5554   -17642.147 -1.4210855e-14 3.907985e-14 
  158000    300.20816    -21024.28    3521.2878   -17502.992 -3.1974423e-14 -2.6645353e-13 
  159000     301.0179   -21011.297    3530.7858   -17480.511 1.2789769e-13 2.4868996e-13 
  160000    304.59664   -20955.801    3572.7625   -17383.038 -7.1054274e-14 1.2079227e-13 
  161000    296.64153   -21078.814    3479.4532    -17599.36 -1.8474111e-13 2.2026825e-13 
  162000    300.22618   -21093.262    3521.4992   -17571.763 2.8421709e-14 -1.563194e-13 
  163000    303.32615   -21055.845    3557.8603   -17497.985 7.4606987e-14 2.4868996e-14 
  164000    301.40488   -20982.673    3535.3247   -17447.348 4.4764192e-13 9.9475983e-14 
  165000    303.89132   -21020.194    3564.4894   -17455.705 -3.5527137e-13 -2.0605739e-13 
  166000    301.49496    -20894.93    3536.3814   -17358.548 1.7408297e-13 1.1013412e-13 
  167000    293.95642   -20877.327    3447.9581   -17429.369 -1.7053026e-13 -8.5265128e-14 
  168000     299.5462   -20828.858    3513.5235   -17315.335 -6.2172489e-14 4.8316906e-13 
  169000    301.73533   -20974.755    3539.2008   -17435.554 1.9184654e-13 -8.5265128e-14 
  170000    307.14603   -20969.434    3602.6656   -17366.768 2.9842795e-13 1.0658141e-13 
  171000    300.41007    -20990.06    3523.6561   -17466.404 9.2370556e-14 9.5923269e-14 
  172000    296.60216   -20945.983    3478.9914   -17466.992 -9.9475983e-14 2.0250468e-13 
  173000    300.09817   -20933.528    3519.9978    -17413.53 -4.6895821e-13 6.3948846e-14 
  174000     294.8471   -20897.532    3458.4054   -17439.127 -1.3855583e-13 2.7355895e-13 
  175000    298.89145   -20936.273    3505.8435   -17430.429 7.1054274e-14 8.5265128e-14 
  176000    298.90197   -20986.315     3505.967   -17480.348 1.4921397e-13 -3.126388e-13 
  177000     304.3971   -20850.315     3570.422   -17279.893 -1.563194e-13 8.5265128e-14 
  178000    294.31005   -21061.288    3452.1061   -17609.182 4.1211479e-13 -3.8014036e-13 
  179000    301.02315   -21113.155    3530.8472   -17582.308 1.7053026e-13 -7.3718809e-14 
  180000    305.65209    -20991.39    3585.1424   -17406.248 -4.9737992e-14 9.4146912e-14 
  181000    295.21801   -20983.691    3462.7559   -17520.936 -2.2737368e-13 -3.5527137e-14 
  182000    301.34467    -21022.36    3534.6185   -17487.742 1.7053026e-13 1.3855583e-13 
  183000    299.82923   -21047.693    3516.8432    -17530.85 -5.6843419e-14 1.7053026e-13 
  184000    300.70738   -20950.042    3527.1434   -17422.899 -1.2079227e-13 7.8159701e-14 
  185000     307.9072   -20925.689    3611.5937   -17314.096 4.0856207e-13 -2.2737368e-13 
  186000    299.76199   -20779.931    3516.0546   -17263.877 -7.1054274e-15 -1.2079227e-13 
  187000    301.06468   -20939.643    3531.3344   -17408.308 7.8159701e-14 -3.5527137e-15 
  188000    297.71217   -21007.125    3492.0112   -17515.114 6.3948846e-14 -1.6697754e-13 
  189000    297.44819   -20923.086    3488.9149   -17434.171 2.0605739e-13 3.5527137e-14 
  190000    301.33597    -20943.91    3534.5165   -17409.393 -2.1316282e-13 -1.4210855e-14 
  191000    300.63684   -20769.931    3526.3161   -17243.615 1.1368684e-13 3.4461323e-13 
  192000    301.50215   -20820.435    3536.4657   -17283.969 -8.5265128e-14 6.750156e-14 
  193000     299.9701   -20885.962    3518.4955   -17367.467 -1.030287e-13 -2.1671553e-13 
  194000    299.07937     -20851.2    3508.0477   -17343.153 -1.5276669e-13 4.156675e-13 
  195000    298.75479   -21049.196    3504.2406   -17544.956 1.7763568e-13 -2.7000624e-13 
  196000    301.00528   -20930.493    3530.6377   -17399.855 4.9027449e-13 -2.2737368e-13 
  197000    291.75356   -20796.161    3422.1198   -17374.041 -1.5276669e-13 -2.5490721e-13 
  198000    297.51488    -20979.82     3489.697   -17490.123 -2.1316282e-14 2.5757174e-14 
  199000    299.48439   -20856.233    3512.7985   -17343.434 1.7053026e-13 -1.7408297e-13 
  200000    298.37877   -21001.017      3499.83   -17501.187 -2.4868996e-14 1.1723955e-13 
  201000    299.12755   -20966.514    3508.6129   -17457.901 -1.4210855e-13 -1.1723955e-13 
  202000    304.61724   -20915.343    3573.0042   -17342.339 7.8159701e-14 -4.8672177e-13 
  203000      311.263   -21046.802    3650.9555   -17395.847 1.2789769e-13 -2.8421709e-13 
  204000    294.80432   -20866.849    3457.9037   -17408.945 -2.1316282e-13 -6.3948846e-14 
  205000    308.58808   -20833.635      3619.58   -17214.055 -3.5527137e-14 -3.907985e-14 
  206000    292.34298   -20827.979    3429.0334   -17398.946 -1.4210855e-14 -2.1316282e-14 
  207000    300.76671   -20900.045    3527.8394   -17372.205 3.0553338e-13 1.030287e-13 
  208000    293.36425   -20793.929    3441.0123   -17352.917 -3.5527137e-14 2.9842795e-13 
  209000    301.08194    -20859.52    3531.5368   -17327.983 2.5579538e-13 1.0658141e-13 
  210000    302.09402    -20959.29    3543.4081   -17415.882 2.8421709e-13 -1.1368684e-13 
  211000    301.66007   -20884.215     3538.318   -17345.897 -8.5265128e-14 -2.5224267e-13 
  212000    296.83219   -20795.925    3481.6895   -17314.235 -1.3500312e-13            0 
  213000    303.03623   -20919.744    3554.4597   -17365.284 -4.2632564e-14 -3.907985e-14 
  214000    301.74055   -20781.004    3539.2621   -17241.741 -3.5527137e-15 -1.4210855e-14 
  215000    299.38655    -20853.99    3511.6508   -17342.339 -1.2789769e-13 4.6185278e-14 
