
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#FIXES
#----------------------------------------------------

fix 		fxnvt all nvt temp 300.0 300.0 100.0
fix 		fxmom all momentum 1 linear 1 1 1 angular

#----------------------------------------------------
#EQUILIBRATION RUN
#----------------------------------------------------

run 		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4 -> bins = 6 6 2
Memory usage per processor = 6.24631 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
  228000    278.20443   -30532.471    148.44015   -30384.031 -1.4210855e-13 -5.6843419e-14 
  229000    276.01149   -30518.301    147.27007   -30371.031 -6.3948846e-14 1.1368684e-13 
  230000    288.39149    -30532.78     153.8756   -30378.904 -1.4210855e-14 -1.563194e-13 
  231000    307.92018   -30513.421    164.29543   -30349.125 2.8421709e-14 -5.6843419e-14 
  232000    292.49417   -30543.401    156.06465   -30387.336 9.9475983e-14 5.6843419e-14 
  233000    323.47921   -30545.967    172.59719    -30373.37 1.2789769e-13 -2.8421709e-14 
  234000    302.70302   -30529.391    161.51174   -30367.879 -5.6843419e-14 -1.2789769e-13 
  235000    300.20912   -30543.543    160.18108   -30383.362 -7.1054274e-15 1.1368684e-13 
  236000    284.67357   -30546.969    151.89185   -30395.078 1.2079227e-13 -1.4210855e-14 
  237000    296.31207   -30524.842    158.10175    -30366.74 2.4158453e-13 -8.5265128e-14 
  238000    272.38761    -30526.94     145.3365   -30381.603 5.6843419e-14 2.8421709e-14 
  239000    278.04541   -30549.563     148.3553   -30401.208 8.5265128e-14            0 
  240000    322.73858   -30544.428    172.20201   -30372.226 -8.5265128e-14 1.563194e-13 
  241000     304.5116    -30542.72    162.47673   -30380.243 -1.4210855e-14            0 
  242000    325.16829   -30521.989    173.49842    -30348.49 1.3145041e-13 6.750156e-14 
  243000    275.80484   -30538.835    147.15981   -30391.675 5.6843419e-14 -4.2632564e-14 
  244000       315.18   -30542.226    168.16902   -30374.057 2.8421709e-14 -2.1316282e-13 
  245000    310.89902   -30525.569    165.88484   -30359.684 -8.5265128e-14 1.1368684e-13 
  246000    301.68601   -30542.168    160.96909   -30381.199 -1.1368684e-13 9.9475983e-14 
  247000    317.91546    -30528.23    169.62856   -30358.601 -2.5579538e-13 2.1316282e-14 
  248000    327.00099   -30552.641    174.47628   -30378.164 -2.1316282e-13 -2.8421709e-14 
  249000    326.07708   -30533.618    173.98331   -30359.635 -1.9895197e-13 2.8421709e-13 
  250000    299.69025   -30550.142    159.90423   -30390.237 4.2632564e-14 4.2632564e-14 
  251000    314.41197    -30534.34    167.75922   -30366.581 9.9475983e-14 -5.6843419e-14 
  252000    280.34177   -30528.081    149.58056   -30378.501 8.5265128e-14 -1.563194e-13 
  253000    318.80442   -30548.532    170.10288   -30378.429 4.2632564e-14            0 
  254000    283.74215    -30522.29    151.39488   -30370.895 -2.8421709e-14 -3.5527137e-15 
  255000    305.85929   -30545.231    163.19581   -30382.036 -4.5474735e-13 -2.8421709e-14 
  256000    324.56181   -30533.336    173.17482   -30360.161 1.7053026e-13 -4.6185278e-14 
  257000    286.23051    -30539.72    152.72258   -30386.998 1.4210855e-13 1.1368684e-13 
  258000     291.5559   -30532.749    155.56402   -30377.185 -6.3948846e-14 5.6843419e-14 
  259000    308.19397   -30536.935    164.44152   -30372.493 -2.8421709e-14 8.5265128e-14 
  260000    307.08671   -30536.984    163.85072   -30373.133 -1.7053026e-13 1.4210855e-14 
  261000    282.35705   -30539.073    150.65584   -30388.417 2.0605739e-13 -1.1368684e-13 
  262000    310.81272    -30537.71    165.83879   -30371.871 2.8421709e-14 -2.2026825e-13 
  263000    289.27382   -30546.397    154.34639    -30392.05 2.1316282e-14 -2.2737368e-13 
  264000    311.60951   -30526.486    166.26393   -30360.222            0 -3.623768e-13 
  265000    300.58566   -30527.215    160.38199   -30366.833 -2.0605739e-13 -2.1316282e-14 
  266000    273.77679   -30528.772    146.07771   -30382.695 -1.9895197e-13 2.2737368e-13 
  267000    318.74176    -30527.46    170.06945   -30357.391 -9.9475983e-14 1.4210855e-13 
  268000    305.07326   -30549.033    162.77641   -30386.257 -7.1054274e-14 -8.5265128e-14 
  269000    302.82499   -30540.475    161.57681   -30378.898 1.4921397e-13 1.4210855e-14 
